"player","number","team","position","height","weight","birth_date","country","experience","college","salary","rank","age","games","games_started","minutes","field_goals","field_goals_atts","field_goals_perc","points3","points3_atts","points3_perc","points2","points2_atts","points2_perc","effective_field_goal_perc","points1","points1_atts","points1_perc","off_rebounds","def_rebounds","total_rebounds","assists","steals","blocks","turnovers","fouls","points"
"Al Horford","42","BOS","C","6-10",245,"June 3, 1986","do","9","University of Florida",26540100,4,30,68,68,2193,379,801,0.473,86,242,0.355,293,559,0.524,0.527,108,135,0.8,95,370,465,337,52,86,115,138,952
"Amir Johnson","90","BOS","PF","6-9",240,"May 1, 1987","us","11","",1.2e+07,6,29,80,77,1608,213,370,0.576,27,66,0.409,186,304,0.612,0.612,67,100,0.67,118,248,366,140,51,62,77,211,520
"Avery Bradley","0","BOS","SG","6-2",180,"November 26, 1990","us","6","University of Texas at Austin",8269663,5,26,55,55,1835,359,775,0.463,108,277,0.39,251,498,0.504,0.533,68,93,0.731,65,269,334,122,68,11,88,141,894
"Demetrius Jackson","9","BOS","PG","6-1",201,"September 7, 1994","us","R","University of Notre Dame",1450000,15,22,5,0,17,3,4,0.75,1,1,1,2,3,0.667,0.875,3,6,0.5,2,2,4,3,0,0,0,0,10
"Gerald Green","30","BOS","SF","6-7",205,"January 26, 1986","us","9","",1410598,11,31,47,0,538,95,232,0.409,39,111,0.351,56,121,0.463,0.494,33,41,0.805,16,68,84,33,9,7,25,48,262
"Isaiah Thomas","4","BOS","PG","5-9",185,"February 7, 1989","us","5","University of Washington",6587132,1,27,76,76,2569,682,1473,0.463,245,646,0.379,437,827,0.528,0.546,590,649,0.909,43,162,205,448,70,13,210,167,2199
"Jae Crowder","99","BOS","SF","6-6",235,"July 6, 1990","us","4","Marquette University",6286408,3,26,72,72,2335,333,720,0.463,157,394,0.398,176,326,0.54,0.572,176,217,0.811,48,367,415,155,73,23,80,161,999
"James Young","13","BOS","SG","6-6",215,"August 16, 1995","us","2","University of Kentucky",1825200,13,21,29,0,220,25,58,0.431,12,35,0.343,13,23,0.565,0.534,6,9,0.667,6,20,26,4,10,2,4,15,68
"Jaylen Brown","7","BOS","SF","6-7",225,"October 24, 1996","us","R","University of California",4743000,8,20,78,20,1341,192,423,0.454,46,135,0.341,146,288,0.507,0.508,85,124,0.685,45,175,220,64,35,18,68,142,515
"Jonas Jerebko","8","BOS","PF","6-10",231,"March 2, 1987","se","6","",5e+06,10,29,78,6,1232,114,262,0.435,45,130,0.346,69,132,0.523,0.521,26,37,0.703,59,213,272,71,25,17,39,122,299
"Jordan Mickey","55","BOS","PF","6-8",235,"July 9, 1994","us","1","Louisiana State University",1223653,14,22,25,1,141,15,34,0.441,0,1,0,15,33,0.455,0.441,8,14,0.571,13,21,34,7,3,6,9,12,38
"Kelly Olynyk","41","BOS","C","7-0",238,"April 19, 1991","ca","3","Gonzaga University",3094014,7,25,75,6,1538,260,508,0.512,68,192,0.354,192,316,0.608,0.579,90,123,0.732,73,288,361,148,43,29,96,207,678
"Marcus Smart","36","BOS","SG","6-4",220,"March 6, 1994","us","2","Oklahoma State University",3578880,2,22,79,24,2399,269,749,0.359,94,332,0.283,175,417,0.42,0.422,203,250,0.812,78,227,305,364,125,34,159,192,835
"Terry Rozier","12","BOS","PG","6-2",190,"March 17, 1994","us","1","University of Louisville",1906440,9,22,74,0,1263,151,411,0.367,57,179,0.318,94,232,0.405,0.437,51,66,0.773,40,187,227,131,46,11,47,69,410
"Tyler Zeller","44","BOS","C","7-0",253,"January 17, 1990","us","4","University of North Carolina",8e+06,12,27,51,5,525,78,158,0.494,0,1,0,78,157,0.497,0.494,22,39,0.564,43,81,124,42,7,21,20,61,178
"Andrew Bogut","6","CLE","C","7-0",260,"November 28, 1984","au","11","University of Utah",242224,21,32,1,0,1,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,2,0
"Channing Frye","8","CLE","C","6-11",255,"May 17, 1983","us","10","University of Arizona",7806971,7,33,74,15,1398,238,520,0.458,137,335,0.409,101,185,0.546,0.589,63,74,0.851,37,253,290,45,33,37,53,138,676
"Dahntay Jones","30","CLE","SF","6-6",225,"December 27, 1980","us","12","Rutgers University, Duke University",24022,20,36,1,0,12,3,8,0.375,0,2,0,3,6,0.5,0.375,3,4,0.75,1,1,2,1,0,0,1,1,9
"Deron Williams","31","CLE","PG","6-3",200,"June 26, 1984","us","11","University of Illinois at Urbana-Champaign",259626,11,32,24,4,486,68,147,0.463,22,53,0.415,46,94,0.489,0.537,21,25,0.84,1,44,45,86,6,6,40,42,179
"Derrick Williams","3-32","CLE","PF","6-8",240,"May 25, 1991","us","5","University of Arizona",402043,12,25,25,0,427,54,107,0.505,21,52,0.404,33,55,0.6,0.603,27,39,0.692,3,54,57,14,5,2,14,27,156
"Edy Tavares","40","CLE","C","7-3",260,"March 22, 1992","cv","1","",5145,18,24,1,0,24,3,4,0.75,0,0,NA,3,4,0.75,0.75,0,1,0,4,6,10,1,0,6,2,3,6
"Iman Shumpert","4","CLE","SG","6-5",220,"June 26, 1990","us","5","Georgia Institute of Technology",9700000,4,26,76,31,1937,201,489,0.411,94,261,0.36,107,228,0.469,0.507,71,90,0.789,39,179,218,109,62,27,78,150,567
"J.R. Smith","5","CLE","SG","6-6",225,"September 9, 1985","us","12","",12800000,8,31,41,35,1187,123,356,0.346,95,271,0.351,28,85,0.329,0.479,10,15,0.667,17,96,113,62,40,11,26,77,351
"James Jones","1","CLE","SF","6-8",218,"October 4, 1980","us","13","University of Miami",1551659,15,36,48,2,381,44,92,0.478,31,66,0.47,13,26,0.5,0.647,13,20,0.65,3,34,37,14,6,10,10,37,132
"Jordan McRae","12","CLE","SG","6-6",185,"March 28, 1991","us","1","University of Tennessee",874636,14,25,37,4,384,58,150,0.387,18,51,0.353,40,99,0.404,0.447,27,34,0.794,6,35,41,19,8,6,14,31,161
"Kay Felder","20","CLE","PG","5-9",176,"March 29, 1995","us","R","Oakland University",543471,13,21,42,0,386,62,158,0.392,7,22,0.318,55,136,0.404,0.415,35,49,0.714,3,38,41,58,18,7,30,38,166
"Kevin Love","0","CLE","PF","6-10",251,"September 7, 1988","us","8","University of California, Los Angeles",21165675,5,28,60,60,1885,370,867,0.427,145,389,0.373,225,478,0.471,0.51,257,295,0.871,148,518,666,116,53,21,122,125,1142
"Kyle Korver","26","CLE","SG","6-7",212,"March 17, 1981","us","13","Creighton University",5239437,9,35,35,1,859,131,269,0.487,97,200,0.485,34,69,0.493,0.667,14,15,0.933,7,90,97,35,11,8,29,60,373
"Kyrie Irving","2","CLE","PG","6-3",193,"March 23, 1992","au","5","Duke University",17638063,2,24,72,72,2525,671,1420,0.473,177,441,0.401,494,979,0.505,0.535,297,328,0.905,52,178,230,418,83,24,180,157,1816
"Larry Sanders","9","CLE","C","6-11",235,"November 21, 1988","us","5","Virginia Commonwealth University",207722,19,28,5,0,13,1,4,0.25,0,0,NA,1,4,0.25,0.25,2,2,1,3,1,4,0,1,1,2,5,4
"LeBron James","23","CLE","SF","6-8",250,"December 30, 1984","us","13","",30963450,1,32,74,74,2794,736,1344,0.548,124,342,0.363,612,1002,0.611,0.594,358,531,0.674,97,542,639,646,92,44,303,134,1954
"Richard Jefferson","24","CLE","SF","6-7",233,"June 21, 1980","us","15","University of Arizona",2500000,6,36,79,13,1614,153,343,0.446,62,186,0.333,91,157,0.58,0.536,80,108,0.741,28,175,203,78,26,10,52,153,448
"Tristan Thompson","13","CLE","C","6-9",238,"March 13, 1991","ca","5","University of Texas at Austin",15330435,3,25,78,78,2336,262,437,0.6,0,3,0,262,434,0.604,0.6,106,213,0.498,286,429,715,77,39,84,64,176,630
"Bruno Caboclo","20","TOR","SF","6-9",218,"September 21, 1995","br","2","",1589640,17,21,9,0,40,6,16,0.375,2,6,0.333,4,10,0.4,0.438,0,0,NA,5,5,10,4,2,1,2,4,14
"Cory Joseph","6","TOR","PG","6-3",193,"August 20, 1991","ca","5","University of Texas at Austin",7330000,4,25,80,22,2003,299,661,0.452,48,135,0.356,251,526,0.477,0.489,94,122,0.77,51,184,235,265,66,13,108,140,740
"Delon Wright","55","TOR","PG","6-5",183,"April 26, 1992","us","1","University of Utah",1577280,14,24,27,0,446,49,116,0.422,10,30,0.333,39,86,0.453,0.466,42,55,0.764,16,32,48,57,27,11,25,31,150
"DeMar DeRozan","10","TOR","SG","6-7",221,"August 7, 1989","us","7","University of Southern California",26540100,1,27,74,74,2620,721,1545,0.467,33,124,0.266,688,1421,0.484,0.477,545,647,0.842,70,316,386,290,78,13,180,134,2020
"DeMarre Carroll","5","TOR","SF","6-8",215,"July 27, 1986","us","7","Vanderbilt University, University of Missouri",14200000,5,30,72,72,1882,220,550,0.4,109,320,0.341,111,230,0.483,0.499,89,117,0.761,63,212,275,74,81,27,54,143,638
"Fred VanVleet","23","TOR","PG","6-0",195,"February 25, 1994","us","R","Wichita State University",543471,15,22,37,0,294,39,111,0.351,11,29,0.379,28,82,0.341,0.401,18,22,0.818,4,38,42,35,16,3,15,36,107
"Jakob Poeltl","42","TOR","C","7-0",248,"October 15, 1995","at","R","University of Utah",2703960,12,21,54,4,626,67,115,0.583,0,0,NA,67,115,0.583,0.583,31,57,0.544,78,87,165,12,17,20,29,113,165
"Jonas Valanciunas","17","TOR","C","7-0",265,"May 6, 1992","lt","4","",14382022,3,24,80,80,2066,391,702,0.557,1,2,0.5,390,700,0.557,0.558,176,217,0.811,226,533,759,57,37,63,106,216,959
"Kyle Lowry","7","TOR","PG","6-0",205,"March 25, 1986","us","10","Villanova University",1.2e+07,2,30,60,60,2244,426,918,0.464,193,468,0.412,233,450,0.518,0.569,299,365,0.819,48,238,286,417,88,19,173,170,1344
"Lucas Nogueira","92","TOR","C","7-0",241,"July 26, 1992","br","2","",1921320,9,24,57,6,1088,103,156,0.66,3,12,0.25,100,144,0.694,0.67,44,67,0.657,82,162,244,42,52,89,46,137,253
"Norman Powell","24","TOR","SG","6-4",215,"May 25, 1993","us","1","University of California, Los Angeles",874636,7,23,76,18,1368,227,506,0.449,56,173,0.324,171,333,0.514,0.504,126,159,0.792,26,143,169,82,52,14,70,127,636
"P.J. Tucker","2","TOR","SF","6-6",245,"May 5, 1985","us","5","University of Texas at Austin",5300000,13,31,24,4,609,52,128,0.406,24,60,0.4,28,68,0.412,0.5,11,16,0.688,23,106,129,26,31,5,14,53,139
"Pascal Siakam","43","TOR","PF","6-9",230,"February 4, 1994","cm","R","New Mexico State University",1196040,10,22,55,38,859,103,205,0.502,1,7,0.143,102,198,0.515,0.505,22,32,0.688,64,121,185,17,26,45,33,109,229
"Patrick Patterson","54","TOR","PF","6-9",230,"March 14, 1989","us","6","University of Kentucky",6050000,6,27,65,8,1599,154,384,0.401,94,253,0.372,60,131,0.458,0.523,43,60,0.717,62,231,293,76,40,23,38,120,445
"Serge Ibaka","9","TOR","PF","6-10",235,"September 18, 1989","cg","7","",12250000,11,27,23,23,712,128,279,0.459,41,103,0.398,87,176,0.494,0.532,30,34,0.882,29,127,156,15,7,33,39,76,327
"Bojan Bogdanovic","44","WAS","SF","6-8",216,"April 18, 1989","ba","2","",3730653,10,27,26,0,601,107,234,0.457,45,115,0.391,62,119,0.521,0.553,71,76,0.934,14,66,80,21,10,4,38,47,330
"Bradley Beal","3","WAS","SG","6-5",207,"June 28, 1993","us","4","University of Florida",22116750,2,23,77,77,2684,637,1322,0.482,223,552,0.404,414,770,0.538,0.566,282,342,0.825,53,187,240,267,83,21,156,169,1779
"Brandon Jennings","7","WAS","PG","6-1",170,"September 23, 1989","us","7","",1200000,13,27,23,2,374,29,106,0.274,11,52,0.212,18,54,0.333,0.325,12,17,0.706,8,36,44,108,15,0,22,32,81
"Chris McCullough","1","WAS","PF","6-11",200,"February 5, 1995","us","1","Syracuse University",1191480,17,21,2,0,8,0,1,0,0,1,0,0,0,NA,0,1,2,0.5,0,2,2,0,1,0,1,0,1
"Daniel Ochefu","32","WAS","C","6-11",245,"December 15, 1993","us","R","Villanova University",543471,16,23,19,0,75,12,27,0.444,0,0,NA,12,27,0.444,0.444,0,2,0,5,17,22,3,2,0,3,17,24
"Danuel House","4","WAS","SG","6-7",207,"June 7, 1993","us","R","Texas A&M University",543471,18,23,1,0,1,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,1,1,0,0,0,0,0,0
"Ian Mahinmi","28","WAS","C","6-11",250,"November 5, 1986","fr","8","",15944154,12,30,31,0,555,65,111,0.586,0,0,NA,65,111,0.586,0.586,43,75,0.573,47,103,150,19,33,24,34,90,173
"Jason Smith","14","WAS","C","7-0",245,"March 2, 1986","us","8","Colorado State University",5e+06,7,30,74,3,1068,174,329,0.529,37,78,0.474,137,251,0.546,0.585,35,51,0.686,64,194,258,37,21,54,58,168,420
"John Wall","2","WAS","PG","6-4",195,"September 6, 1990","us","6","University of Kentucky",16957900,1,26,78,78,2836,647,1435,0.451,89,272,0.327,558,1163,0.48,0.482,422,527,0.801,59,267,326,831,157,49,322,151,1805
"Kelly Oubre","12","WAS","SF","6-7",205,"December 9, 1995","us","1","University of Kansas",2006640,6,21,79,5,1605,186,442,0.421,54,188,0.287,132,254,0.52,0.482,75,99,0.758,61,200,261,47,58,17,50,195,501
"Marcin Gortat","13","WAS","C","6-11",240,"February 17, 1984","pl","9","",1.2e+07,4,32,82,82,2556,390,674,0.579,0,2,0,390,672,0.58,0.579,103,159,0.648,238,611,849,121,40,61,119,213,883
"Markieff Morris","5","WAS","PF","6-10",245,"September 2, 1989","us","5","University of Kansas",7400000,5,27,76,76,2374,406,889,0.457,71,196,0.362,335,693,0.483,0.497,180,215,0.837,107,386,493,126,82,42,129,254,1063
"Otto Porter","22","WAS","SF","6-8",198,"June 3, 1993","us","3","Georgetown University",5893981,3,23,80,80,2605,414,803,0.516,148,341,0.434,266,462,0.576,0.608,99,119,0.832,118,396,514,121,116,42,44,193,1075
"Tomas Satoransky","31","WAS","SG","6-7",210,"October 30, 1991","cz","R","",2870813,8,25,57,3,719,61,147,0.415,9,37,0.243,52,110,0.473,0.446,23,33,0.697,25,58,83,92,26,6,38,60,154
"Trey Burke","33","WAS","PG","6-1",191,"November 12, 1992","us","3","University of Michigan",3386598,9,24,57,0,703,116,255,0.455,31,70,0.443,85,185,0.459,0.516,22,29,0.759,7,40,47,100,11,5,48,54,285
"DeAndre' Bembry","95","ATL","SF","6-6",210,"July 4, 1994","us","R","Saint Joseph's University",1499760,14,22,38,1,371,47,98,0.48,1,18,0.056,46,80,0.575,0.485,6,16,0.375,14,45,59,28,8,5,16,21,101
"Dennis Schroder","17","ATL","PG","6-1",172,"September 15, 1993","de","3","",2708582,1,23,79,78,2485,548,1214,0.451,100,294,0.34,448,920,0.487,0.493,218,255,0.855,42,206,248,499,74,16,258,149,1414
"Dwight Howard","8","ATL","C","6-11",265,"December 8, 1985","us","12","",23180275,3,31,74,74,2199,388,613,0.633,0,2,0,388,611,0.635,0.633,226,424,0.533,296,644,940,104,64,92,170,203,1002
"Ersan Ilyasova","7","ATL","PF","6-10",235,"May 15, 1987","tr","8","",8400000,12,29,26,12,633,93,226,0.412,32,92,0.348,61,134,0.455,0.482,52,65,0.8,42,109,151,43,22,8,34,73,270
"Gary Neal","14","ATL","SG","6-4",210,"October 3, 1984","us","6","La Salle University, Towson University",72193,19,32,2,0,18,0,7,0,0,2,0,0,5,0,0,4,4,1,0,1,1,1,0,0,0,1,4
"Jose Calderon","13","ATL","PG","6-3",200,"September 28, 1981","es","11","",392478,15,35,17,2,247,23,57,0.404,8,30,0.267,15,27,0.556,0.474,7,8,0.875,7,25,32,37,4,0,15,14,61
"Kent Bazemore","24","ATL","SF","6-5",201,"July 1, 1989","us","4","Old Dominion University",15730338,5,27,73,64,1963,295,721,0.409,92,266,0.346,203,455,0.446,0.473,119,168,0.708,45,186,231,177,91,52,125,165,801
"Kris Humphries","43","ATL","PF","6-9",235,"February 6, 1985","us","12","University of Minnesota",4e+06,11,31,56,4,689,87,214,0.407,19,54,0.352,68,160,0.425,0.451,64,82,0.78,60,146,206,29,15,21,28,69,257
"Lamar Patterson","13","ATL","SG","6-5",225,"August 12, 1991","us","1","University of Pittsburgh",128623,18,25,5,0,40,3,15,0.2,1,6,0.167,2,9,0.222,0.233,2,3,0.667,1,6,7,6,1,0,4,6,9
"Malcolm Delaney","5","ATL","PG","6-3",190,"March 11, 1989","us","R","Virginia Polytechnic Institute and State University",2500000,7,27,73,2,1248,145,388,0.374,26,110,0.236,119,278,0.428,0.407,75,93,0.806,10,113,123,193,39,1,95,112,391
"Mike Dunleavy","34","ATL","SF","6-9",230,"September 15, 1980","us","14","Duke University",4837500,13,36,30,0,475,57,130,0.438,33,77,0.429,24,53,0.453,0.565,22,26,0.846,13,55,68,30,9,5,14,35,169
"Mike Muscala","31","ATL","C","6-11",240,"July 1, 1991","us","3","Bucknell University",1015696,8,25,70,3,1237,170,337,0.504,46,110,0.418,124,227,0.546,0.573,49,64,0.766,76,164,240,95,30,41,55,97,435
"Paul Millsap","4","ATL","PF","6-8",246,"February 10, 1985","us","10","Louisiana Tech University",20072033,2,31,69,67,2343,430,972,0.442,75,241,0.311,355,731,0.486,0.481,311,405,0.768,111,422,533,252,90,62,158,186,1246
"Ryan Kelly","30","ATL","PF","6-11",230,"April 9, 1991","us","3","Duke University",418228,17,25,16,0,110,8,28,0.286,4,10,0.4,4,18,0.222,0.357,5,6,0.833,1,17,18,8,4,5,4,5,25
"Taurean Waller-Prince","12","ATL","SF","6-8",220,"March 22, 1994","us","R","Baylor University",2318280,9,22,59,10,981,114,285,0.4,33,102,0.324,81,183,0.443,0.458,74,94,0.787,25,132,157,55,43,27,61,96,335
"Thabo Sefolosha","25","ATL","SF","6-7",220,"May 2, 1984","ch","10","",3850000,6,32,62,42,1596,174,395,0.441,41,120,0.342,133,275,0.484,0.492,55,75,0.733,54,216,270,107,96,31,58,97,444
"Tim Hardaway","10","ATL","SG","6-6",205,"March 16, 1992","us","3","University of Michigan",2281605,4,24,79,30,2154,415,912,0.455,149,417,0.357,266,495,0.537,0.537,164,214,0.766,35,189,224,182,55,15,106,103,1143
"Axel Toupane","6","MIL","SF","6-7",197,"July 23, 1992","fr","1","",51449,19,24,2,0,6,0,1,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,1,0
"Gary Payton","0","MIL","PG","6-3",190,"December 1, 1992","us","R","Oregon State University",35166,16,24,6,0,99,8,22,0.364,1,9,0.111,7,13,0.538,0.386,3,5,0.6,0,12,12,13,3,4,10,9,20
"Giannis Antetokounmpo","34","MIL","SF","6-11",222,"December 6, 1994","gr","3","",2995421,1,22,80,80,2845,656,1259,0.521,49,180,0.272,607,1079,0.563,0.541,471,612,0.77,142,558,700,434,131,151,234,246,1832
"Greg Monroe","15","MIL","C","6-11",265,"June 4, 1990","us","6","Georgetown University",17100000,5,26,81,0,1823,387,726,0.533,0,4,0,387,722,0.536,0.533,177,239,0.741,167,365,532,187,92,38,140,168,951
"Jabari Parker","12","MIL","PF","6-8",250,"March 15, 1995","us","2","Duke University",5374320,6,21,51,50,1728,399,814,0.49,65,178,0.365,334,636,0.525,0.53,162,218,0.743,79,235,314,142,50,22,93,111,1025
"Jason Terry","3","MIL","SG","6-2",185,"September 15, 1977","us","17","University of Arizona",1551659,7,39,74,0,1365,105,243,0.432,73,171,0.427,32,72,0.444,0.582,24,29,0.828,15,91,106,98,46,20,36,95,307
"John Henson","31","MIL","C","6-11",229,"December 28, 1990","us","4","University of North Carolina",12517606,9,26,58,39,1123,159,309,0.515,0,1,0,159,308,0.516,0.515,74,107,0.692,92,203,295,57,29,78,52,151,392
"Khris Middleton","22","MIL","SF","6-8",234,"August 12, 1991","us","4","Texas A&M University",15200000,11,25,29,23,889,150,333,0.45,45,104,0.433,105,229,0.459,0.518,81,92,0.88,11,112,123,99,41,7,65,79,426
"Malcolm Brogdon","13","MIL","SG","6-5",215,"December 11, 1992","us","R","University of Virginia",925000,4,24,75,28,1982,290,635,0.457,78,193,0.404,212,442,0.48,0.518,109,126,0.865,47,166,213,317,84,12,113,140,767
"Matthew Dellavedova","8","MIL","PG","6-4",198,"September 8, 1990","au","3","Saint Mary's College of California",9607500,3,26,76,54,1986,208,534,0.39,79,215,0.367,129,319,0.404,0.463,82,96,0.854,24,123,147,357,53,0,133,153,577
"Michael Beasley","9","MIL","PF","6-9",235,"January 9, 1989","us","8","Kansas State University",1403611,10,28,56,6,935,216,406,0.532,18,43,0.419,198,363,0.545,0.554,78,105,0.743,40,153,193,53,27,27,66,92,528
"Miles Plumlee","18","MIL","C","6-11",249,"September 1, 1988","us","4","Duke University",12500000,14,28,32,12,310,30,68,0.441,0,0,NA,30,68,0.441,0.441,22,35,0.629,23,30,53,18,11,9,22,48,82
"Mirza Teletovic","35","MIL","PF","6-9",242,"September 18, 1985","ba","4","",10500000,8,31,70,2,1133,156,418,0.373,104,305,0.341,52,113,0.46,0.498,35,45,0.778,11,151,162,48,12,13,37,109,451
"Rashad Vaughn","20","MIL","SG","6-6",202,"August 16, 1996","us","1","University of Nevada, Las Vegas",1811040,13,20,41,2,458,57,156,0.365,26,81,0.321,31,75,0.413,0.449,2,5,0.4,4,45,49,23,19,10,14,32,142
