"player","number","team","position","height","weight","birth_date","country","experience","college","salary","rank","age","games","games_started","minutes","field_goals","field_goals_atts","field_goals_perc","points3","points3_atts","points3_perc","points2","points2_atts","points2_perc","effective_field_goal_perc","points1","points1_atts","points1_perc","off_rebounds","def_rebounds","total_rebounds","assists","steals","blocks","turnovers","fouls","points"
"Patrick Beverley","2","HOU","SG","6-1",185,"July 12, 1988","us","4","University of Arkansas",6e+06,5,28,67,67,2058,228,543,0.42,110,288,0.382,118,255,0.463,0.521,73,95,0.768,95,298,393,281,99,25,100,222,639
"Ryan Anderson","3","HOU","PF","6-10",240,"May 6, 1988","us","8","University of California",18735364,4,28,72,72,2116,323,773,0.418,204,506,0.403,119,267,0.446,0.55,129,150,0.86,112,218,330,68,31,14,55,142,979
"Sam Dekker","7","HOU","PF","6-9",230,"May 6, 1994","us","1","University of Wisconsin",1720560,7,22,77,2,1419,203,429,0.473,60,187,0.321,143,242,0.591,0.543,38,68,0.559,94,190,284,76,38,21,41,83,504
"Trevor Ariza","1","HOU","SF","6-8",215,"June 30, 1985","us","12","University of California, Los Angeles",7806971,2,31,80,80,2773,326,798,0.409,191,555,0.344,135,243,0.556,0.528,93,126,0.738,54,404,458,175,147,20,73,133,936
"Troy Williams","14","HOU","SF","6-7",218,"December 30, 1994","us","R","Indiana University",181969,14,22,6,3,139,22,44,0.5,8,21,0.381,14,23,0.609,0.591,6,7,0.857,9,15,24,6,3,1,6,18,58
"Alan Anderson","9","LAC","SF","6-6",220,"October 16, 1982","us","7","Michigan State University",1315448,12,34,30,0,308,30,80,0.375,14,44,0.318,16,36,0.444,0.463,12,16,0.75,3,21,24,11,3,0,7,35,86
"Austin Rivers","25","LAC","SG","6-4",200,"August 1, 1992","us","4","Duke University",1.1e+07,5,24,74,29,2054,323,731,0.442,111,299,0.371,212,432,0.491,0.518,132,191,0.691,20,141,161,204,48,10,115,187,889
"Blake Griffin","32","LAC","PF","6-10",251,"March 16, 1989","us","6","University of Oklahoma",20140838,4,27,61,61,2076,479,971,0.493,38,113,0.336,441,858,0.514,0.513,320,421,0.76,112,385,497,300,57,22,142,157,1316
"Brandon Bass","30","LAC","PF","6-8",250,"April 30, 1985","us","11","Louisiana State University",1551659,11,31,52,0,577,107,186,0.575,1,3,0.333,106,183,0.579,0.578,77,88,0.875,43,86,129,21,14,11,29,45,292
"Brice Johnson","10","LAC","PF","6-10",230,"June 27, 1994","us","R","University of North Carolina",1273920,15,22,3,0,9,2,7,0.286,0,0,NA,2,7,0.286,0.286,0,0,NA,1,2,3,1,2,1,1,0,4
"Chris Paul","3","LAC","PG","6-0",175,"May 6, 1985","us","11","Wake Forest University",22868827,6,31,61,61,1921,374,785,0.476,124,302,0.411,250,483,0.518,0.555,232,260,0.892,40,264,304,563,119,8,147,146,1104
"DeAndre Jordan","6","LAC","C","6-11",265,"July 21, 1988","us","8","Texas A&M University",21165675,1,28,81,81,2570,412,577,0.714,0,2,0,412,575,0.717,0.714,205,425,0.482,298,816,1114,96,51,134,115,212,1029
"Diamond Stone","0","LAC","C","6-11",255,"February 10, 1997","us","R","University of Maryland",543471,14,19,7,0,24,3,13,0.231,0,0,NA,3,13,0.231,0.231,4,4,1,1,5,6,0,0,1,2,5,10
"J.J. Redick","4","LAC","SG","6-4",190,"June 24, 1984","us","10","Duke University",7377500,2,32,78,78,2198,396,890,0.445,201,468,0.429,195,422,0.462,0.558,180,202,0.891,11,160,171,110,54,13,98,125,1173
"Jamal Crawford","11","LAC","SG","6-5",200,"March 20, 1980","us","16","University of Michigan",13253012,3,36,82,1,2157,359,870,0.413,116,322,0.36,243,548,0.443,0.479,174,203,0.857,17,112,129,214,61,14,134,115,1008
"Luc Mbah a Moute","12","LAC","SF","6-8",230,"September 9, 1986","cm","8","University of California, Los Angeles",2203000,7,30,80,76,1787,191,378,0.505,43,110,0.391,148,268,0.552,0.562,59,87,0.678,44,126,170,39,81,35,46,122,484
"Marreese Speights","5","LAC","C","6-10",255,"August 4, 1987","us","8","University of Florida",1403611,9,29,82,2,1286,244,548,0.445,103,277,0.372,141,271,0.52,0.539,120,137,0.876,88,285,373,65,23,41,69,229,711
"Paul Pierce","34","LAC","SF","6-7",235,"October 13, 1977","us","18","University of Kansas",3500000,13,39,25,7,277,28,70,0.4,15,43,0.349,13,27,0.481,0.507,10,13,0.769,1,47,48,10,4,5,16,40,81
"Raymond Felton","2","LAC","PG","6-1",205,"June 26, 1984","us","11","University of North Carolina",1551659,8,32,80,11,1700,221,514,0.43,46,144,0.319,175,370,0.473,0.475,50,64,0.781,33,185,218,191,66,22,83,125,538
"Wesley Johnson","33","LAC","SF","6-7",215,"July 11, 1987","us","6","Iowa State University, Syracuse University",5628000,10,29,68,3,810,73,200,0.365,29,118,0.246,44,82,0.537,0.438,11,17,0.647,26,155,181,23,29,30,18,83,186
"Alec Burks","10","UTA","SG","6-6",214,"July 20, 1991","us","5","University of Colorado",10154495,12,25,42,0,653,99,248,0.399,25,76,0.329,74,172,0.43,0.45,60,78,0.769,17,103,120,30,18,5,35,50,283
"Boris Diaw","33","UTA","PF","6-8",250,"April 16, 1982","fr","13","",7e+06,7,34,73,33,1283,146,327,0.446,20,81,0.247,126,246,0.512,0.477,26,35,0.743,46,112,158,170,18,9,87,83,338
"Dante Exum","11","UTA","PG","6-6",190,"July 13, 1995","au","1","",3940320,8,21,66,26,1228,155,363,0.427,44,149,0.295,111,214,0.519,0.488,58,73,0.795,30,102,132,111,21,12,80,146,412
"Derrick Favors","15","UTA","PF","6-10",265,"July 15, 1991","us","6","Georgia Institute of Technology",11050000,10,25,50,39,1186,203,417,0.487,3,10,0.3,200,407,0.491,0.49,67,109,0.615,92,213,305,56,45,40,60,103,476
"George Hill","3","UTA","PG","6-3",188,"May 4, 1986","us","8","Indiana University-Purdue University Indianapolis",8e+06,6,30,49,49,1544,289,606,0.477,94,233,0.403,195,373,0.523,0.554,157,196,0.801,23,144,167,204,50,11,85,114,829
"Gordon Hayward","20","UTA","SF","6-8",226,"March 23, 1990","us","6","Butler University",16073140,2,26,73,73,2516,545,1156,0.471,149,374,0.398,396,782,0.506,0.536,362,429,0.844,49,345,394,252,73,20,140,117,1601
"Jeff Withey","24","UTA","C","7-0",231,"March 7, 1990","us","3","University of Kansas",1015696,13,26,51,1,432,55,103,0.534,0,1,0,55,102,0.539,0.534,36,48,0.75,52,69,121,7,16,32,14,52,146
"Joe Ingles","2","UTA","SF","6-8",226,"October 2, 1987","au","2","",2250000,3,29,82,26,1972,204,451,0.452,123,279,0.441,81,172,0.471,0.589,50,68,0.735,23,238,261,225,96,8,107,163,581
"Joe Johnson","6","UTA","SF","6-7",240,"June 29, 1981","us","15","University of Arkansas",1.1e+07,4,35,78,14,1843,273,626,0.436,106,258,0.411,167,368,0.454,0.521,63,77,0.818,33,210,243,144,36,18,69,93,715
"Joel Bolomboy","21","UTA","PF","6-9",235,"January 28, 1994","ua","R","Weber State University",6e+05,15,23,12,0,53,9,16,0.563,1,4,0.25,8,12,0.667,0.594,3,6,0.5,4,13,17,2,1,2,2,1,22
"Raul Neto","25","UTA","PG","6-1",179,"May 19, 1992","br","1","",937800,14,24,40,0,346,41,91,0.451,10,31,0.323,31,60,0.517,0.505,8,9,0.889,4,26,30,34,21,5,15,48,100
"Rodney Hood","5","UTA","SG","6-8",206,"October 20, 1992","us","2","Mississippi State University, Duke University",1406520,5,24,59,55,1593,272,666,0.408,114,307,0.371,158,359,0.44,0.494,90,115,0.783,16,186,202,96,38,11,65,132,748
"Rudy Gobert","27","UTA","C","7-1",245,"June 26, 1992","fr","3","",2121288,1,24,81,81,2744,413,625,0.661,0,1,0,413,624,0.662,0.661,311,476,0.653,314,721,1035,97,49,214,147,246,1137
"Shelvin Mack","8","UTA","PG","6-3",203,"April 22, 1990","us","5","Butler University",2433334,9,26,55,9,1205,170,381,0.446,37,120,0.308,133,261,0.51,0.495,53,77,0.688,20,105,125,154,42,3,90,100,430
"Trey Lyles","41","UTA","PF","6-10",234,"November 5, 1995","ca","1","University of Kentucky",2340600,11,21,71,4,1158,159,439,0.362,65,204,0.319,94,235,0.4,0.436,57,79,0.722,48,187,235,69,26,20,64,97,440
"Alex Abrines","8","OKC","SG","6-6",190,"August 1, 1993","es","R","",5994764,8,23,68,6,1055,134,341,0.393,94,247,0.381,40,94,0.426,0.531,44,49,0.898,18,68,86,40,37,8,33,114,406
"Andre Roberson","21","OKC","SF","6-7",210,"December 4, 1991","us","3","University of Colorado",2183072,3,25,79,79,2376,215,463,0.464,45,184,0.245,170,279,0.609,0.513,47,111,0.423,98,305,403,79,94,79,51,204,522
"Domantas Sabonis","3","OKC","PF","6-11",240,"May 3, 1996","us","R","Gonzaga University",2440200,5,20,81,66,1632,192,481,0.399,51,159,0.321,141,322,0.438,0.452,44,67,0.657,46,242,288,82,39,32,83,200,479
"Doug McDermott","25","OKC","SF","6-8",225,"January 3, 1992","us","2","Creighton University",2483040,13,25,22,1,430,56,124,0.452,21,58,0.362,35,66,0.53,0.536,12,17,0.706,6,43,49,13,2,1,6,22,145
"Enes Kanter","11","OKC","C","6-11",245,"May 20, 1992","ch","5","",17145838,6,24,72,0,1533,402,737,0.545,5,38,0.132,397,699,0.568,0.549,224,285,0.786,195,287,482,67,32,38,123,154,1033
"Jerami Grant","9","OKC","PF","6-8",210,"March 12, 1994","us","2","Syracuse University",980431,7,22,78,4,1490,146,311,0.469,43,114,0.377,103,197,0.523,0.539,86,139,0.619,38,161,199,46,33,75,41,144,421
"Josh Huestis","34","OKC","PF","6-7",230,"December 19, 1991","us","1","Stanford University",1191480,19,25,2,0,31,6,11,0.545,2,4,0.5,4,7,0.571,0.636,0,1,0,4,5,9,3,0,3,0,0,14
"Kyle Singler","15","OKC","SF","6-8",228,"May 4, 1988","us","4","Duke University",4837500,14,28,32,2,385,34,83,0.41,7,37,0.189,27,46,0.587,0.452,13,17,0.765,8,40,48,9,7,5,11,29,88
"Nick Collison","4","OKC","PF","6-10",255,"October 26, 1980","us","12","University of Kansas",3750000,16,36,20,0,128,14,23,0.609,0,1,0,14,22,0.636,0.609,5,8,0.625,9,22,31,12,2,2,4,17,33
"Norris Cole","30","OKC","PG","6-2",175,"October 13, 1988","us","5","Cleveland State University",247991,17,28,13,0,125,16,52,0.308,3,13,0.231,13,39,0.333,0.337,8,10,0.8,0,11,11,14,8,0,7,18,43
"Russell Westbrook","0","OKC","PG","6-3",200,"November 12, 1988","us","8","University of California, Los Angeles",26540100,1,28,81,81,2802,824,1941,0.425,200,583,0.343,624,1358,0.459,0.476,710,840,0.845,137,727,864,840,132,31,438,190,2558
"Semaj Christon","6","OKC","PG","6-3",190,"November 1, 1992","us","R","Xavier University",543471,9,24,64,1,973,77,223,0.345,12,63,0.19,65,160,0.406,0.372,17,31,0.548,19,68,87,130,28,7,43,79,183
"Steven Adams","12","OKC","C","7-0",255,"July 20, 1993","nz","3","University of Pittsburgh",3140517,2,23,80,80,2389,374,655,0.571,0,1,0,374,654,0.572,0.571,157,257,0.611,281,332,613,86,89,78,146,195,905
"Taj Gibson","22","OKC","PF","6-9",225,"June 24, 1985","us","7","University of Southern California",8950000,12,31,23,16,487,89,179,0.497,1,1,1,88,178,0.494,0.5,28,39,0.718,38,65,103,13,14,15,28,40,207
"Victor Oladipo","5","OKC","SG","6-4",210,"May 4, 1992","us","3","Indiana University",6552960,4,24,67,67,2222,412,932,0.442,127,352,0.361,285,580,0.491,0.51,116,154,0.753,39,252,291,176,78,21,119,155,1067
"Andrew Harrison","5","MEM","PG","6-6",213,"October 28, 1994","us","R","University of Kentucky",945000,8,22,72,18,1474,117,360,0.325,43,156,0.276,74,204,0.363,0.385,148,194,0.763,23,113,136,198,53,21,85,194,425
"Brandan Wright","34","MEM","PF","6-10",210,"October 5, 1987","us","8","University of North Carolina",5700000,12,29,28,5,447,83,135,0.615,0,1,0,83,134,0.619,0.615,23,35,0.657,31,47,78,15,11,20,10,42,189
"Chandler Parsons","25","MEM","SF","6-10",230,"October 25, 1988","us","5","University of Florida",22116750,10,28,34,34,675,75,222,0.338,25,93,0.269,50,129,0.388,0.394,35,43,0.814,6,78,84,55,20,5,24,52,210
"Deyonta Davis","23","MEM","C","6-11",237,"December 2, 1996","us","R","Michigan State University",1369229,16,20,36,0,238,24,47,0.511,0,0,NA,24,47,0.511,0.511,10,18,0.556,20,40,60,2,3,17,8,40,58
"James Ennis","8","MEM","SF","6-7",210,"July 1, 1990","us","2","California State University, Long Beach",2898000,7,26,64,28,1501,146,321,0.455,51,137,0.372,95,184,0.516,0.534,86,110,0.782,69,190,259,64,46,19,59,165,429
"JaMychal Green","0","MEM","PF","6-9",227,"June 21, 1990","us","2","University of Alabama",980431,3,26,77,75,2101,250,500,0.5,55,145,0.379,195,355,0.549,0.555,134,167,0.802,167,377,544,84,47,34,94,248,689
"Jarell Martin","1","MEM","PF","6-10",239,"May 24, 1994","us","1","Louisiana State University",1286160,11,22,42,3,558,58,151,0.384,9,25,0.36,49,126,0.389,0.414,40,50,0.8,42,120,162,8,17,9,28,91,165
"Marc Gasol","33","MEM","C","7-1",255,"January 29, 1985","es","8","",21165675,1,32,74,74,2531,532,1160,0.459,104,268,0.388,428,892,0.48,0.503,278,332,0.837,60,404,464,338,67,99,166,171,1446
"Mike Conley","11","MEM","PG","6-1",175,"October 11, 1987","us","9","Ohio State University",26540100,2,29,69,68,2292,464,1009,0.46,171,419,0.408,293,590,0.497,0.545,316,368,0.859,31,210,241,433,92,19,156,126,1415
"Toney Douglas","16","MEM","PG","6-2",195,"March 16, 1986","us","7","Auburn University, Florida State University",603558,15,30,24,0,394,43,117,0.368,7,42,0.167,36,75,0.48,0.397,24,29,0.828,13,48,61,56,18,5,21,50,117
"Tony Allen","9","MEM","SG","6-4",213,"January 11, 1982","us","12","Butler County Community College, Oklahoma State University",5505618,4,35,71,66,1914,274,595,0.461,15,54,0.278,259,541,0.479,0.473,80,130,0.615,166,225,391,98,115,29,100,178,643
"Troy Daniels","30","MEM","SG","6-4",205,"July 15, 1991","us","3","Virginia Commonwealth University",3332940,9,25,67,3,1183,185,495,0.374,138,355,0.389,47,140,0.336,0.513,43,54,0.796,22,78,100,46,20,4,45,90,551
"Vince Carter","15","MEM","SF","6-6",220,"January 26, 1977","us","18","University of North Carolina",4264057,5,40,73,15,1799,193,490,0.394,112,296,0.378,81,194,0.418,0.508,88,115,0.765,36,191,227,133,60,36,50,163,586
"Wade Baldwin","4","MEM","PG","6-4",202,"March 29, 1996","us","R","Vanderbilt University",1793760,14,20,33,1,405,36,115,0.313,3,22,0.136,33,93,0.355,0.326,31,37,0.838,11,35,46,61,18,7,39,40,106
"Wayne Selden","7","MEM","SG","6-5",230,"September 30, 1994","us","R","University of Kansas",83119,17,22,11,2,189,20,50,0.4,3,21,0.143,17,29,0.586,0.43,12,18,0.667,1,10,11,12,4,1,9,12,55
"Zach Randolph","50","MEM","PF","6-9",260,"July 16, 1981","us","15","Michigan State University",10361445,6,35,73,5,1786,433,964,0.449,21,94,0.223,412,870,0.474,0.46,141,193,0.731,182,416,598,122,38,10,99,136,1028
"Al-Farouq Aminu","8","POR","PF","6-9",220,"September 21, 1990","us","6","Wake Forest University",7680965,5,26,61,25,1773,183,466,0.393,70,212,0.33,113,254,0.445,0.468,96,136,0.706,77,374,451,99,60,44,94,102,532
"Allen Crabbe","23","POR","SG","6-6",210,"April 9, 1992","us","3","University of California",18500000,3,24,79,7,2254,303,647,0.468,134,302,0.444,169,345,0.49,0.572,105,124,0.847,19,207,226,94,54,20,62,171,845
"CJ McCollum","3","POR","SG","6-3",190,"September 19, 1991","us","3","Lehigh University",3219579,1,25,80,80,2796,692,1441,0.48,185,439,0.421,507,1002,0.506,0.544,268,294,0.912,60,229,289,285,72,42,172,202,1837
"Damian Lillard","0","POR","PG","6-3",195,"July 15, 1990","us","4","Weber State University",24328425,2,26,75,75,2694,661,1488,0.444,214,579,0.37,447,909,0.492,0.516,488,545,0.895,46,322,368,440,68,20,197,152,2024
"Ed Davis","17","POR","PF","6-10",240,"June 5, 1989","us","6","University of North Carolina",6666667,10,27,46,12,789,75,142,0.528,0,0,NA,75,142,0.528,0.528,50,81,0.617,96,148,244,26,15,22,37,137,200
"Evan Turner","1","POR","SF","6-7",220,"October 27, 1988","us","6","Ohio State University",16393443,6,28,65,12,1658,235,552,0.426,31,118,0.263,204,434,0.47,0.454,85,103,0.825,36,211,247,205,53,24,100,121,586
"Jake Layman","10","POR","SF","6-9",210,"March 7, 1994","us","R","University of Maryland",6e+05,14,22,35,1,249,26,89,0.292,13,51,0.255,13,38,0.342,0.365,13,17,0.765,6,18,24,11,9,3,11,22,78
"Jusuf Nurkic","27","POR","C","7-0",280,"August 23, 1994","ba","2","",1921320,11,22,20,19,584,120,236,0.508,0,1,0,120,235,0.511,0.508,64,97,0.66,65,142,207,63,25,38,62,73,304
"Maurice Harkless","4","POR","SF","6-9",215,"May 11, 1993","us","4","St. John's University",8988764,4,23,77,69,2223,314,624,0.503,68,194,0.351,246,430,0.572,0.558,77,124,0.621,125,216,341,88,85,70,86,214,773
"Meyers Leonard","11","POR","PF","7-1",245,"February 27, 1992","us","4","University of Illinois at Urbana-Champaign",9213484,9,24,74,12,1222,146,378,0.386,74,213,0.347,72,165,0.436,0.484,35,40,0.875,27,210,237,71,13,28,35,172,401
"Noah Vonleh","21","POR","PF","6-10",240,"August 24, 1995","us","2","Indiana University",2751360,8,21,74,41,1265,130,270,0.481,7,20,0.35,123,250,0.492,0.494,60,94,0.638,131,256,387,31,30,27,64,154,327
"Pat Connaughton","5","POR","SG","6-5",206,"January 6, 1993","us","1","University of Notre Dame",874636,13,24,39,1,316,37,72,0.514,17,33,0.515,20,39,0.513,0.632,7,9,0.778,10,42,52,28,6,2,17,23,98
"Shabazz Napier","6","POR","PG","6-1",175,"July 14, 1991","us","2","University of Connecticut",1350120,12,25,53,2,512,73,183,0.399,34,92,0.37,39,91,0.429,0.492,38,49,0.776,8,53,61,67,32,2,41,38,218
"Alonzo Gee","7","DEN","SF","6-6",225,"May 29, 1987","us","7","University of Alabama",495227,16,29,13,0,89,3,14,0.214,0,3,0,3,11,0.273,0.214,5,9,0.556,4,11,15,6,5,1,4,14,11
"Danilo Gallinari","8","DEN","SF","6-10",225,"August 8, 1988","it","7","",15050000,2,28,63,63,2134,335,750,0.447,126,324,0.389,209,426,0.491,0.531,349,387,0.902,39,286,325,135,40,15,82,93,1145
"Darrell Arthur","0","DEN","PF","6-9",235,"March 25, 1988","us","7","University of Kansas",8070175,12,28,41,7,639,95,215,0.442,53,117,0.453,42,98,0.429,0.565,19,22,0.864,25,87,112,42,19,21,36,76,262
"Emmanuel Mudiay","0","DEN","PG","6-5",200,"March 5, 1996","cd","1","",3241800,8,20,55,41,1406,208,551,0.377,56,178,0.315,152,373,0.408,0.428,131,167,0.784,29,149,178,217,41,13,123,95,603
"Gary Harris","14","DEN","SG","6-4",210,"September 14, 1994","us","2","Michigan State University",1655880,5,22,57,56,1782,320,637,0.502,107,255,0.42,213,382,0.558,0.586,104,134,0.776,48,130,178,164,71,8,76,92,851
"Jamal Murray","27","DEN","SG","6-4",207,"February 23, 1997","ca","R","University of Kentucky",3210840,6,19,82,10,1764,295,730,0.404,115,344,0.334,180,386,0.466,0.483,106,120,0.883,41,173,214,170,51,24,113,124,811
"Jameer Nelson","1","DEN","PG","6-0",190,"February 9, 1982","us","12","Saint Joseph's University",4540525,3,34,75,39,2045,268,604,0.444,106,273,0.388,162,331,0.489,0.531,45,63,0.714,28,164,192,385,54,8,128,197,687
"Jarnell Stokes","12","DEN","C","6-9",263,"January 7, 1994","us","2","University of Tennessee",150000,19,23,2,0,7,1,1,1,0,0,NA,1,1,1,1,1,2,0.5,1,1,2,2,1,0,0,3,3
"Juan Hernangomez","41","DEN","PF","6-9",230,"September 28, 1995","es","R","",1987440,10,21,62,9,842,101,224,0.451,46,113,0.407,55,111,0.495,0.554,57,76,0.75,43,144,187,29,30,12,31,62,305
"Kenneth Faried","35","DEN","PF","6-8",228,"November 19, 1989","us","5","Morehead State University",12078652,9,27,61,34,1296,228,416,0.548,0,6,0,228,410,0.556,0.548,131,189,0.693,183,279,462,55,43,40,59,124,587
"Malik Beasley","25","DEN","SG","6-5",196,"November 26, 1996","us","R","Florida State University",1627320,14,20,22,1,165,33,73,0.452,9,28,0.321,24,45,0.533,0.514,8,10,0.8,5,12,17,11,7,0,8,10,83
"Mason Plumlee","24","DEN","C","6-11",245,"March 5, 1990","us","3","Duke University",2328530,13,26,27,10,632,99,181,0.547,0,1,0,99,180,0.55,0.547,47,76,0.618,50,123,173,70,19,29,46,77,245
"Mike Miller","3","DEN","SF","6-8",218,"February 19, 1980","us","16","University of Florida",3500000,15,36,20,0,151,9,23,0.391,8,20,0.4,1,3,0.333,0.565,2,2,1,2,36,38,22,2,0,13,9,28
"Nikola Jokic","15","DEN","C","6-10",250,"February 19, 1995","rs","1","",1358500,4,21,73,59,2038,494,854,0.578,45,139,0.324,449,715,0.628,0.605,188,228,0.825,212,506,718,359,61,55,171,214,1221
"Roy Hibbert","34","DEN","C","7-2",270,"December 11, 1986","us","8","Georgetown University",5e+06,18,30,6,0,11,2,3,0.667,0,0,NA,2,3,0.667,0.667,0,0,NA,1,1,2,1,0,2,1,3,4
"Will Barton","5","DEN","SG","6-6",175,"January 6, 1991","us","4","University of Memphis",3533333,7,26,60,19,1705,295,666,0.443,87,235,0.37,208,431,0.483,0.508,143,190,0.753,58,201,259,206,48,28,97,110,820
