"player","number","team","position","height","weight","birth_date","country","experience","college","salary","rank","age","games","games_started","minutes","field_goals","field_goals_atts","field_goals_perc","points3","points3_atts","points3_perc","points2","points2_atts","points2_perc","effective_field_goal_perc","points1","points1_atts","points1_perc","off_rebounds","def_rebounds","total_rebounds","assists","steals","blocks","turnovers","fouls","points"
"Wilson Chandler","21","DEN","SF","6-8",225,"May 10, 1987","us","8","DePaul University",11200000,1,29,71,33,2197,433,939,0.461,110,326,0.337,323,613,0.527,0.52,141,194,0.727,103,357,460,141,51,30,114,172,1117
"Alexis Ajinca","42","NOP","C","7-2",248,"May 6, 1988","fr","6","",4600000,10,28,39,15,584,89,178,0.5,0,4,0,89,174,0.511,0.5,29,40,0.725,46,131,177,12,20,22,31,77,207
"Anthony Davis","23","NOP","C","6-10",253,"March 11, 1993","us","4","University of Kentucky",22116750,1,23,75,75,2708,770,1526,0.505,40,134,0.299,730,1392,0.524,0.518,519,647,0.802,172,712,884,157,94,167,181,168,2099
"Cheick Diallo","13","NOP","PF","6-9",220,"September 13, 1996","ml","R","University of Kansas",543471,16,20,17,0,199,36,76,0.474,0,0,NA,36,76,0.474,0.474,15,21,0.714,23,50,73,4,4,7,7,17,87
"Dante Cunningham","33","NOP","PF","6-8",230,"April 22, 1987","us","7","Villanova University",2978250,5,29,66,35,1649,174,359,0.485,71,181,0.392,103,178,0.579,0.584,16,27,0.593,56,221,277,37,39,28,28,100,435
"DeMarcus Cousins","0","NOP","C","6-11",270,"August 13, 1990","us","6","University of Kentucky",16957900,11,26,17,17,574,142,314,0.452,36,96,0.375,106,218,0.486,0.51,94,121,0.777,37,174,211,66,25,19,62,75,414
"Donatas Motiejunas","12","NOP","PF","7-0",222,"September 20, 1990","lt","4","",576724,13,26,34,0,479,57,138,0.413,11,47,0.234,46,91,0.505,0.453,25,49,0.51,26,75,101,32,18,11,31,55,150
"E'Twaun Moore","55","NOP","SG","6-4",191,"February 28, 1989","us","5","Purdue University",8081363,4,27,73,22,1820,283,619,0.457,77,208,0.37,206,411,0.501,0.519,57,74,0.77,33,119,152,164,50,32,62,131,700
"Jarrett Jack","1","NOP","PG","6-3",200,"October 28, 1983","us","11","Georgia Institute of Technology",91274,24,33,2,0,33,2,3,0.667,0,1,0,2,2,1,0.667,2,2,1,0,0,0,5,2,0,3,4,6
"Jordan Crawford","4","NOP","SG","6-4",195,"October 23, 1988","us","4","Indiana University, Xavier University",234915,15,28,19,0,442,105,218,0.482,37,95,0.389,68,123,0.553,0.567,20,26,0.769,4,30,34,57,11,2,25,30,267
"Jrue Holiday","11","NOP","PG","6-4",205,"June 12, 1990","us","7","University of California, Los Angeles",11286518,3,26,67,61,2190,405,893,0.454,100,281,0.356,305,612,0.498,0.51,119,168,0.708,46,218,264,488,100,44,194,133,1029
"Omer Asik","3","NOP","C","7-0",255,"July 4, 1986","tr","6","",9904494,12,30,31,19,482,31,65,0.477,0,0,NA,31,65,0.477,0.477,23,39,0.59,48,115,163,15,5,10,14,51,85
"Omri Casspi","18","NOP","PF","6-9",225,"June 22, 1988","il","7","",3e+06,26,28,1,0,24,5,9,0.556,2,4,0.5,3,5,0.6,0.667,0,0,NA,1,1,2,0,0,0,2,3,12
"Quinn Cook","22","NOP","PG","6-2",184,"March 23, 1993","us","R","Duke University",79922,20,23,9,0,111,22,41,0.537,6,12,0.5,16,29,0.552,0.61,2,3,0.667,1,3,4,14,3,0,5,7,52
"Reggie Williams","5","NOP","SF","6-6",205,"September 14, 1986","us","6","Virginia Military Institute",252676,21,30,6,0,79,8,23,0.348,5,11,0.455,3,12,0.25,0.457,6,7,0.857,2,4,6,4,3,0,0,2,27
"Solomon Hill","44","NOP","SF","6-7",225,"March 18, 1991","us","3","University of Arizona",11241218,2,25,80,71,2374,183,478,0.383,94,270,0.348,89,208,0.428,0.481,103,128,0.805,51,256,307,141,72,32,82,182,563
"Tim Frazier","2","NOP","PG","6-1",170,"November 1, 1990","us","2","Pennsylvania State University",2090000,6,26,65,35,1525,163,404,0.403,40,128,0.313,123,276,0.446,0.453,98,129,0.76,34,139,173,335,56,6,101,133,464
"A.J. Hammons","20","DAL","C","7-0",260,"August 27, 1992","us","R","Purdue University",650000,17,24,22,0,163,17,42,0.405,5,10,0.5,12,32,0.375,0.464,9,20,0.45,8,28,36,4,1,13,10,21,48
"Ben Bentil","42","DAL","PF","6-9",235,"March 29, 1995","gh","R","Providence College",31969,24,21,3,0,10,0,3,0,0,1,0,0,2,0,0,0,0,NA,0,2,2,0,0,0,1,1,0
"DeAndre Liggins","14","DAL","SG","6-6",209,"March 31, 1988","us","3","University of Kentucky",1015696,22,28,1,0,25,3,6,0.5,0,1,0,3,5,0.6,0.5,2,3,0.667,3,4,7,0,2,0,0,3,8
"Devin Harris","34","DAL","PG","6-3",192,"February 27, 1983","us","12","University of Wisconsin",4228000,8,33,65,0,1087,136,341,0.399,58,177,0.328,78,164,0.476,0.484,107,129,0.829,11,116,127,136,43,7,57,101,437
"Dirk Nowitzki","41","DAL","PF","7-0",245,"June 19, 1978","de","18","",2.5e+07,5,38,54,54,1424,296,678,0.437,79,209,0.378,217,469,0.463,0.495,98,112,0.875,23,330,353,82,30,38,51,113,769
"Dorian Finney-Smith","10","DAL","PF","6-8",220,"May 4, 1993","us","R","University of Florida",543471,4,23,81,35,1642,124,333,0.372,56,191,0.293,68,142,0.479,0.456,46,61,0.754,55,167,222,67,52,25,45,125,350
"Dwight Powell","7","DAL","C","6-11",240,"July 20, 1991","ca","2","Stanford University",8375000,6,25,77,3,1333,194,377,0.515,21,74,0.284,173,303,0.571,0.542,107,141,0.759,93,213,306,49,61,39,34,135,516
"Harrison Barnes","40","DAL","PF","6-8",210,"May 30, 1992","us","4","University of North Carolina",22116750,1,24,79,79,2803,599,1280,0.468,78,222,0.351,521,1058,0.492,0.498,242,281,0.861,93,301,394,116,65,15,102,128,1518
"J.J. Barea","5","DAL","PG","6-0",185,"June 26, 1984","pr","10","Northeastern University",4096950,11,32,35,6,771,142,343,0.414,53,148,0.358,89,195,0.456,0.491,44,51,0.863,9,75,84,193,14,1,63,30,381
"Jarrod Uthoff","19","DAL","PF","6-9",221,"May 19, 1993","us","R","University of Iowa",63938,18,23,9,0,115,16,38,0.421,3,9,0.333,13,29,0.448,0.461,5,7,0.714,8,14,22,9,2,4,3,8,40
"Jonathan Gibson","3","DAL","PG","6-2",185,"November 8, 1987","us","R","New Mexico State University",680937,16,29,17,0,231,35,95,0.368,15,45,0.333,20,50,0.4,0.447,21,29,0.724,1,21,22,26,8,0,21,21,106
"Manny Harris","6","DAL","SG","6-5",185,"September 21, 1989","us","3","University of Michigan",119494,23,27,4,0,25,3,15,0.2,0,2,0,3,13,0.231,0.2,2,4,0.5,3,6,9,2,0,0,2,1,8
"Nerlens Noel","3","DAL","C","6-11",228,"April 10, 1994","us","2","University of Kentucky",4384490,15,22,22,12,483,77,134,0.575,0,0,NA,77,134,0.575,0.575,34,48,0.708,47,103,150,20,22,24,22,55,188
"Nicolas Brussino","9","DAL","SG","6-7",195,"March 2, 1993","ar","R","",543471,14,23,54,2,521,52,141,0.369,29,95,0.305,23,46,0.5,0.472,17,22,0.773,26,69,95,47,17,8,26,43,150
"Pierre Jackson","55","DAL","PG","5-10",180,"August 29, 1991","us","R","Baylor University",105498,19,25,8,1,84,13,39,0.333,3,11,0.273,10,28,0.357,0.372,6,7,0.857,1,8,9,19,2,0,3,5,35
"Salah Mejri","50","DAL","C","7-1",245,"June 15, 1986","tn","1","",874636,10,30,73,11,905,88,137,0.642,1,3,0.333,87,134,0.649,0.646,36,61,0.59,97,211,308,14,32,61,40,152,213
"Seth Curry","30","DAL","PG","6-2",185,"August 23, 1990","us","3","Liberty University, Duke University",2898000,3,26,70,42,2029,338,703,0.481,137,322,0.425,201,381,0.528,0.578,85,100,0.85,25,154,179,189,79,7,92,126,898
"Wesley Matthews","23","DAL","SG","6-5",220,"October 14, 1986","us","7","Marquette University",17100000,2,30,73,73,2495,333,847,0.393,174,479,0.363,159,368,0.432,0.496,146,179,0.816,18,241,259,210,77,15,102,161,986
"Anthony Tolliver","43","SAC","PF","6-8",240,"June 1, 1985","us","8","Creighton University",8e+06,6,31,65,9,1477,155,351,0.442,90,230,0.391,65,121,0.537,0.57,61,82,0.744,51,186,237,77,34,20,56,109,461
"Arron Afflalo","40","SAC","SG","6-5",210,"October 15, 1985","us","9","University of California, Los Angeles",12500000,5,31,61,45,1580,185,420,0.44,62,151,0.411,123,269,0.457,0.514,83,93,0.892,9,116,125,78,21,6,42,104,515
"Ben McLemore","23","SAC","SG","6-5",195,"February 11, 1993","us","3","University of Kansas",4008882,10,23,61,26,1176,180,419,0.43,65,170,0.382,115,249,0.462,0.507,70,93,0.753,19,110,129,51,29,6,62,108,495
"Buddy Hield","24","SAC","SG","6-4",214,"December 17, 1993","bs","R","University of Oklahoma",3517200,12,23,25,18,727,142,296,0.48,59,138,0.428,83,158,0.525,0.579,35,43,0.814,16,87,103,44,20,2,53,34,378
"Darren Collison","7","SAC","PG","6-0",175,"August 23, 1987","us","7","University of California, Los Angeles",5229454,1,29,68,64,2063,340,714,0.476,73,175,0.417,267,539,0.495,0.527,147,171,0.86,23,129,152,312,67,9,114,119,900
"Garrett Temple","17","SAC","SG","6-6",195,"May 8, 1986","us","6","Louisiana State University",8e+06,4,30,65,21,1728,183,432,0.424,82,220,0.373,101,212,0.476,0.519,58,74,0.784,32,152,184,168,84,28,78,141,506
"Georgios Papagiannis","13","SAC","C","7-1",240,"July 3, 1997","gr","R","",2202240,16,19,22,0,355,56,102,0.549,0,2,0,56,100,0.56,0.549,12,14,0.857,24,62,86,20,3,17,24,44,124
"Jordan Farmar","20","SAC","PG","6-2",180,"November 30, 1986","us","9","University of California, Los Angeles",82979,19,30,2,0,35,4,12,0.333,4,9,0.444,0,3,0,0.5,0,0,NA,1,2,3,9,2,0,3,1,12
"Kosta Koufos","41","SAC","C","7-0",265,"February 24, 1989","us","8","Ohio State University",8046500,8,27,71,62,1419,216,392,0.551,0,1,0,216,391,0.552,0.551,38,62,0.613,118,285,403,47,36,48,61,172,470
"Langston Galloway","9","SAC","PG","6-2",200,"December 9, 1991","us","2","Saint Joseph's University",5200000,15,25,19,2,375,42,104,0.404,19,40,0.475,23,64,0.359,0.495,11,12,0.917,7,28,35,28,6,1,18,20,114
"Malachi Richardson","5","SAC","SG","6-6",205,"January 5, 1996","us","R","Syracuse University",1439880,18,21,22,0,198,28,68,0.412,8,28,0.286,20,40,0.5,0.471,15,19,0.789,3,20,23,11,5,1,8,23,79
"Rudy Gay","8","SAC","SF","6-8",230,"August 17, 1986","us","10","University of Connecticut",13333333,11,30,30,30,1013,201,442,0.455,42,113,0.372,159,329,0.483,0.502,118,138,0.855,35,155,190,83,44,26,74,79,562
"Skal Labissiere","3","SAC","PF","6-11",225,"March 18, 1996","ht","R","University of Kentucky",1188840,13,20,33,12,612,117,218,0.537,3,8,0.375,114,210,0.543,0.544,52,74,0.703,51,111,162,27,16,13,37,64,289
"Ty Lawson","10","SAC","PG","5-11",195,"November 3, 1987","us","7","University of North Carolina",1315448,3,29,69,24,1732,237,522,0.454,34,118,0.288,203,404,0.502,0.487,173,217,0.797,44,135,179,334,74,6,129,119,681
"Tyreke Evans","32","SAC","SF","6-6",220,"September 19, 1989","us","7","University of Memphis",10661286,17,27,14,6,314,59,143,0.413,21,48,0.438,38,95,0.4,0.486,24,34,0.706,7,44,51,33,12,5,22,19,163
"Willie Cauley-Stein","0","SAC","C","7-0",240,"August 18, 1993","us","1","University of Kentucky",3551160,7,23,75,21,1421,255,481,0.53,0,2,0,255,479,0.532,0.53,101,151,0.669,85,254,339,80,53,44,69,147,611
"Adreian Payne","33","MIN","PF","6-10",237,"February 19, 1991","us","2","Michigan State University",2022240,13,25,18,0,135,23,54,0.426,3,15,0.2,20,39,0.513,0.454,14,19,0.737,9,24,33,7,8,7,8,32,63
"Andrew Wiggins","22","MIN","SF","6-8",199,"February 23, 1995","ca","2","University of Kansas",6006600,1,21,82,82,3048,709,1570,0.452,103,289,0.356,606,1281,0.473,0.484,412,542,0.76,102,226,328,189,82,30,187,183,1933
"Brandon Rush","4","MIN","SG","6-6",220,"July 7, 1985","us","8","University of Kansas",3500000,9,31,47,33,1030,70,187,0.374,44,114,0.386,26,73,0.356,0.492,13,18,0.722,16,83,99,45,22,23,28,42,197
"Cole Aldrich","45","MIN","C","6-11",250,"October 31, 1988","us","6","University of Kansas",7643979,11,28,62,0,531,45,86,0.523,0,0,NA,45,86,0.523,0.523,15,22,0.682,51,107,158,25,25,23,17,85,105
"Gorgui Dieng","5","MIN","PF","6-11",241,"January 18, 1990","sn","3","University of Louisville",2348783,3,27,82,82,2653,332,661,0.502,16,43,0.372,316,618,0.511,0.514,136,167,0.814,188,459,647,158,88,95,107,254,816
"John Lucas III","11","MIN","PG","5-11",166,"November 21, 1982","us","7","Baylor University, Oklahoma State University",635753,16,34,5,0,11,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,NA,0,0,0,1,2,0,0,0,2
"Jordan Hill","27","MIN","C","6-10",235,"July 27, 1987","us","7","University of Arizona",3911380,15,29,7,0,47,5,13,0.385,0,0,NA,5,13,0.385,0.385,2,2,1,8,6,14,0,1,0,4,9,12
"Karl-Anthony Towns","32","MIN","C","7-0",244,"November 15, 1995","us","1","University of Kentucky",5960160,2,21,82,82,3030,802,1480,0.542,101,275,0.367,701,1205,0.582,0.576,356,428,0.832,296,711,1007,220,56,103,212,241,2061
"Kris Dunn","3","MIN","PG","6-4",210,"March 18, 1994","us","R","Providence College",3872520,7,22,78,7,1333,118,313,0.377,21,73,0.288,97,240,0.404,0.411,36,59,0.61,24,142,166,188,78,36,89,178,293
"Nemanja Bjelica","88","MIN","PF","6-10",240,"May 9, 1988","rs","1","",3800000,8,28,65,1,1190,151,356,0.424,56,177,0.316,95,179,0.531,0.503,45,61,0.738,57,187,244,79,40,20,59,154,403
"Ricky Rubio","9","MIN","PG","6-4",194,"October 21, 1990","es","5","",13550000,4,26,75,75,2469,261,650,0.402,60,196,0.306,201,454,0.443,0.448,254,285,0.891,68,237,305,682,128,10,195,202,836
"Shabazz Muhammad","15","MIN","SF","6-6",223,"November 13, 1992","us","3","University of California, Los Angeles",3046299,6,24,78,1,1516,288,598,0.482,49,145,0.338,239,453,0.528,0.523,147,190,0.774,84,136,220,35,22,6,56,86,772
"Tyus Jones","1","MIN","PG","6-2",195,"May 10, 1996","us","1","Duke University",1339680,10,20,60,0,774,75,181,0.414,26,73,0.356,49,108,0.454,0.486,33,43,0.767,10,57,67,156,48,5,38,50,209
"Zach LaVine","8","MIN","SG","6-5",189,"March 10, 1995","us","2","University of California, Los Angeles",2240880,5,21,47,47,1749,326,710,0.459,120,310,0.387,206,400,0.515,0.544,117,140,0.836,19,141,160,139,41,10,85,104,889
"Brandon Ingram","14","LAL","SF","6-9",190,"September 2, 1997","us","R","Duke University",5281680,2,19,79,40,2279,276,686,0.402,55,187,0.294,221,499,0.443,0.442,133,214,0.621,60,256,316,166,50,36,116,158,740
"Corey Brewer","3","LAL","SF","6-9",186,"March 5, 1986","us","9","University of Florida",7600000,15,30,24,3,358,53,121,0.438,5,24,0.208,48,97,0.495,0.459,18,24,0.75,11,41,52,36,24,8,19,29,129
"D'Angelo Russell","1","LAL","PG","6-5",195,"February 23, 1996","us","1","Ohio State University",5332800,4,20,63,60,1811,351,867,0.405,135,384,0.352,216,483,0.447,0.483,147,188,0.782,31,190,221,303,87,16,176,130,984
"David Nwaba","10","LAL","SG","6-4",209,"January 14, 1993","us","R","California Polytechnic State University, San Luis Obispo",137466,13,24,20,2,397,47,81,0.58,1,5,0.2,46,76,0.605,0.586,25,39,0.641,17,46,63,14,13,7,11,36,120
"Ivica Zubac","40","LAL","C","7-1",265,"March 18, 1997","ba","R","",1034956,11,19,38,11,609,126,238,0.529,0,3,0,126,235,0.536,0.529,32,49,0.653,41,118,159,30,14,33,30,66,284
"Jordan Clarkson","6","LAL","SG","6-5",194,"June 7, 1992","us","2","University of Tulsa, University of Missouri",12500000,1,24,82,19,2397,477,1071,0.445,117,356,0.329,360,715,0.503,0.5,134,168,0.798,49,197,246,213,88,8,164,150,1205
"Julius Randle","30","LAL","PF","6-9",250,"November 29, 1994","us","2","University of Kentucky",3267120,3,22,74,73,2132,377,773,0.488,17,63,0.27,360,710,0.507,0.499,204,282,0.723,150,486,636,264,49,37,173,248,975
"Luol Deng","9","LAL","SF","6-9",220,"April 16, 1985","ss","12","Duke University",1.8e+07,6,31,56,49,1486,164,424,0.387,51,165,0.309,113,259,0.436,0.447,46,63,0.73,63,232,295,74,48,20,43,61,425
"Metta World Peace","37","LAL","SF","6-6",260,"November 13, 1979","us","16","St. John's University",1551659,18,37,25,2,160,19,68,0.279,9,38,0.237,10,30,0.333,0.346,10,16,0.625,5,15,20,11,10,2,7,18,57
"Nick Young","0","LAL","SG","6-7",210,"June 1, 1985","us","9","University of Southern California",5443918,5,31,60,60,1556,272,633,0.43,170,421,0.404,102,212,0.481,0.564,77,90,0.856,25,113,138,58,37,14,36,137,791
"Tarik Black","28","LAL","C","6-9",250,"November 22, 1991","us","2","University of Memphis, University of Kansas",6191000,10,25,67,16,1091,150,294,0.51,1,2,0.5,149,292,0.51,0.512,82,109,0.752,144,199,343,39,29,44,58,173,383
"Thomas Robinson","15","LAL","PF","6-10",237,"March 17, 1991","us","4","University of Kansas",1050961,12,25,48,1,560,105,196,0.536,0,1,0,105,195,0.538,0.536,31,66,0.47,84,139,223,31,26,9,46,76,241
"Timofey Mozgov","20","LAL","C","7-1",275,"July 16, 1986","ru","6","",1.6e+07,9,30,54,52,1104,169,328,0.515,0,1,0,169,327,0.517,0.515,63,78,0.808,104,160,264,43,16,31,72,133,401
"Tyler Ennis","11","LAL","PG","6-3",194,"August 24, 1994","ca","2","Syracuse University",1733880,14,22,22,2,392,65,144,0.451,21,54,0.389,44,90,0.489,0.524,19,22,0.864,5,21,26,52,19,2,21,29,170
"Alan Williams","15","PHO","C","6-8",260,"January 28, 1993","us","1","University of California, Santa Barbara",874636,12,24,47,0,708,138,267,0.517,0,1,0,138,266,0.519,0.517,70,112,0.625,94,198,292,23,27,32,37,125,346
"Alex Len","21","PHO","C","7-1",260,"June 16, 1993","ua","3","University of Maryland",4823621,6,23,77,34,1560,230,463,0.497,3,12,0.25,227,451,0.503,0.5,150,208,0.721,156,354,510,44,38,98,102,242,613
"Brandon Knight","11","PHO","SG","6-3",189,"December 2, 1991","us","5","University of Kentucky",12606250,9,25,54,5,1140,209,525,0.398,45,139,0.324,164,386,0.425,0.441,132,154,0.857,25,93,118,130,27,5,88,87,595
"Derrick Jones","10","PHO","SF","6-7",190,"February 15, 1997","us","R","University of Nevada, Las Vegas",543471,14,19,32,8,545,68,121,0.562,3,11,0.273,65,110,0.591,0.574,29,41,0.707,39,40,79,12,14,13,13,63,168
"Devin Booker","1","PHO","SG","6-6",206,"October 30, 1996","us","1","University of Kentucky",2223600,1,20,78,78,2730,606,1431,0.423,147,405,0.363,459,1026,0.447,0.475,367,441,0.832,46,203,249,268,72,21,241,242,1726
"Dragan Bender","35","PHO","PF","7-1",225,"November 17, 1997","ba","R","",4276320,13,19,43,0,574,57,161,0.354,28,101,0.277,29,60,0.483,0.441,4,11,0.364,23,80,103,23,10,22,32,74,146
"Elijah Millsap","22","PHO","SG","6-6",225,"August 12, 1987","us","2","University of Louisiana at Lafayette, University of Alabama at Birmingham",23069,17,29,2,0,23,1,7,0.143,0,2,0,1,5,0.2,0.143,1,2,0.5,3,3,6,1,0,0,2,2,3
"Eric Bledsoe","2","PHO","PG","6-1",205,"December 9, 1989","us","6","University of Kentucky",1.4e+07,2,27,66,66,2176,449,1034,0.434,104,310,0.335,345,724,0.477,0.485,388,458,0.847,52,268,320,418,91,31,224,164,1390
"Jared Dudley","3","PHO","PF","6-7",225,"July 10, 1985","us","9","Boston College",10470000,7,31,64,7,1362,157,346,0.454,77,203,0.379,80,143,0.559,0.565,43,65,0.662,31,194,225,121,42,16,73,154,434
"Jarell Eddie","31","PHO","SF","6-7",218,"October 30, 1991","us","1","Virginia Polytechnic Institute and State University",102898,16,25,5,0,62,6,19,0.316,4,16,0.25,2,3,0.667,0.421,8,9,0.889,1,6,7,0,1,0,1,1,24
"John Jenkins","23","PHO","SG","6-4",215,"March 6, 1991","us","4","Vanderbilt University",469841,18,25,4,0,13,2,5,0.4,1,2,0.5,1,3,0.333,0.5,2,2,1,0,1,1,1,0,0,0,0,7
"Leandro Barbosa","19","PHO","SG","6-3",194,"November 28, 1982","br","13","",4e+06,11,34,67,0,963,172,392,0.439,35,98,0.357,137,294,0.466,0.483,40,45,0.889,15,89,104,81,31,8,48,82,419
"Marquese Chriss","0","PHO","PF","6-10",233,"July 2, 1997","us","R","University of Washington",2941440,4,19,82,75,1743,284,632,0.449,72,224,0.321,212,408,0.52,0.506,113,181,0.624,96,252,348,60,67,70,108,263,753
"Ronnie Price","14","PHO","PG","6-2",190,"June 21, 1983","us","11","Nicholls State University, Utah Valley State College",465143,15,33,14,0,134,4,24,0.167,3,17,0.176,1,7,0.143,0.229,3,4,0.75,3,8,11,18,11,1,3,14,14
"T.J. Warren","12","PHO","SF","6-8",230,"September 5, 1993","us","2","North Carolina State University",2128920,3,23,66,59,2048,403,814,0.495,26,98,0.265,377,716,0.527,0.511,119,154,0.773,125,214,339,75,76,39,57,175,951
"Tyler Ulis","8","PHO","PG","5-10",150,"January 5, 1996","us","R","University of Kentucky",918369,10,21,61,15,1123,184,437,0.421,21,79,0.266,163,358,0.455,0.445,55,71,0.775,20,75,95,226,48,5,77,73,444
"Tyson Chandler","4","PHO","C","7-1",240,"October 2, 1982","us","15","",12415000,8,34,47,46,1298,153,228,0.671,0,0,NA,153,228,0.671,0.671,91,124,0.734,153,386,539,30,33,24,65,126,397
